rank,platform,platform_full,platform_family,recorded_sales_millions,sales_share_percent,sales_records,total_records,sales_coverage_percent,x0,x1,y0,y1
1,PS2,PlayStation 2,PlayStation,1027.76,15.56,2126,3565,59.6,0,41.285,0,37.6848
2,X360,Xbox 360,Xbox,859.79,13.02,1302,1735,75.0,0,41.285,37.6848,69.2107
3,PS3,PlayStation 3,PlayStation,839.7,12.71,1348,1905,70.8,0,41.285,69.2107,100.0
4,PS,PlayStation,PlayStation,546.25,8.27,1130,2707,41.7,41.285,70.8136,0,28.0037
5,PS4,PlayStation 4,PlayStation,539.92,8.17,908,2878,31.5,70.8136,100.0,0,28.0037
6,Wii,Nintendo Wii,Nintendo,459.44,6.95,1357,1676,81.0,41.285,70.6831,28.0037,51.6617
7,DS,Nintendo DS,Nintendo,458.17,6.94,2396,3288,72.9,70.6831,100.0,28.0037,51.6617
8,XOne,Xbox One,Xbox,268.96,4.07,524,1963,26.7,41.285,64.6566,51.6617,69.0824
9,PSP,PlayStation Portable,PlayStation,245.29,3.71,1340,1807,74.2,41.285,64.6566,69.0824,84.97
10,XB,Xbox,Xbox,232.05,3.51,836,982,85.1,41.285,64.6566,84.97,100.0
11,GBA,Game Boy Advance,Nintendo,224.48,3.4,899,1659,54.2,64.6566,84.8205,51.6617,68.5144
12,PC,PC,PC,168.99,2.56,1560,12617,12.4,84.8205,100.0,51.6617,68.5144
13,Other,Other platforms (69),Other,735.11,11.13,3196,27234,11.7,64.6566,100.0,68.5144,100.0
